a(chebi:10100)	partOf	complex(a(chebi:10100), p(hgnc:19679))	{"relation": "partOf"}
p(hgnc:2367)	positiveCorrelation	path(doid:0080600)	{"annotations": {"mesh": {"D044967": true}}, "citation": {"authors": ["Chen G", "Chen H", "Chen J", "Chen T", "Ding C", "Guo W", "Han M", "Huang J", "Li S", "Luo X", "Ma K", "Ning Q", "Wang H", "Wang T", "Wu D", "Xu D", "Yan W", "Yang D", "Yu H", "Zhang X", "Zhao J"], "date": "2020-03-26", "db": "PubMed", "db_id": "32217556", "db_name": "BMJ (Clinical research ed.)", "first": "Chen T", "last": "Ning Q", "pages": "m1091", "volume": "368"}, "evidence": "Concentrations of procalcitonin, high sensitivity C-reactive protein, and ferritin, as well as erythrocyte sedimentation rate, were significantly higher in deceased patients than in recovered patients.", "line": 155, "relation": "positiveCorrelation"}
p(hgnc:2367)	positiveCorrelation	path(doid:0080600)	{"annotations": {"mesh": {"D001769": true}}, "citation": {"authors": ["Cao Y", "Chen G", "Chen H", "Chen T", "Guo W", "Han M", "Huang D", "Li S", "Luo X", "Ning Q", "Song J", "Wang H", "Wang T", "Wu D", "Wu S", "Yu H", "Zhang M", "Zhang X", "Zhao J"], "date": "2020-03-27", "db": "PubMed", "db_id": "32217835", "db_name": "The Journal of clinical investigation", "first": "Chen G", "last": "Ning Q"}, "evidence": "Levels of lactate dehydrogenase (LDH),  concentrations of serum high-sensitivity C-reactive protein (hsCRP), ferritin and D-dimer levels were markedly higher in severe cases than moderate cases.", "line": 126, "relation": "positiveCorrelation"}
p(hgnc:2367)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Li T", "Liu Z", "Qin Y", "Wang J", "Wang Q", "Yan X", "Zeng X", "Zhang F", "Zhang S", "Zhang W", "Zhang X", "Zhao Y"], "date": "2020-03-25", "db": "PubMed", "db_id": "32222466", "db_name": "Clinical immunology (Orlando, Fla.)", "first": "Zhang W", "last": "Zhang S", "pages": "108393", "volume": "214"}, "evidence": "Consistent with others, most of severe COVID-19 patients in our ICU ward had persistent very high level of erythematosus sedimentation rate (ESR), CRP, and high level of IL-6,TNFa, IL-1B, IL-8, IL2R, etc, and were associated with ARDS, hypercoagulation and disseminated intravascular coagulation (DIC), manifested as thrombosis, thrombocytopenia, gangrene of extremities.", "line": 86, "relation": "positiveCorrelation"}
p(hgnc:2367)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.019216"}, "evidence": "Analysis of the global proteomic changes reveal significant upregulation of CXCR2, PRG3, LBP, MMP25, CRP, NLRP1 in the COVID-19-MS PBMC cohort (Fig.3c).", "line": 102, "relation": "positiveCorrelation"}
p(hgnc:2367)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.20944/preprints202003.0286.v1"}, "evidence": "Before being treated with thalidomide + methylprednisolone, the patient showed an increase in C-reactive protein (CRP) and cytokine levels, including interleukin 6 (IL-6), interleukin 10 (IL-10) and interferon gamma (IFN-gamma) together with reduced CD4+ and CD8+ T cells counts.", "line": 78, "relation": "positiveCorrelation"}
p(hgnc:2367)	association	bp(go:0006954)	{"citation": {"authors": ["Li Q", "Wang Z", "Wen L", "Yang B", "Zhang R"], "date": "2020-03-16", "db": "PubMed", "db_id": "32176772", "db_name": "Clinical infectious diseases : an official publication of the Infectious Diseases Society of America", "first": "Wang Z", "last": "Zhang R"}, "evidence": "In terms of inflammation indicators, patients on  admission showed increase in lactate dehydrogenase (25 [41%] of 61 patients), c reactive protein (42 [67%] of 63 patients), and erythrocyte sedimentation rate (30 [52%] of 58 patients), but not procalcitonin. ", "line": 98, "relation": "association"}
p(hgnc:2367)	positiveCorrelation	p(hgnc:11949)	{"annotations": {"mesh": {"D010949": true}}, "citation": {"authors": ["Chen M", "Fan Y", "Guo T", "He T", "Lu Z", "Wan J", "Wang H", "Wang X", "Wu X", "Zhang L"], "date": "2020-03-27", "db": "PubMed", "db_id": "32219356", "db_name": "JAMA cardiology", "first": "Guo T", "last": "Lu Z"}, "evidence": "The inflammatory biomarkers, including high sensitivity C-reactive protein (median [IQR], 8.55 [4.87- 15.165] vs 3.13 [1.24-5.75]mg/dL [to convert to milligrams per liter, multiply by 10]), procalcitonin (median [IQR], 0.21 [0.11- 0.45] vs 0.05 [0.04-0.11] ng/mL), and globulin (median [IQR],29.7 [27.0-34.6] vs 27.4 [25.6-29.6] grams per liter) were significantly higher in patientswith elevated TnT levels (P < .001 for all).", "line": 73, "relation": "positiveCorrelation"}
p(hgnc:2367)	positiveCorrelation	p(hgnc:6018)	{"annotations": {}, "citation": {"authors": ["Rismanbaf A"], "date": "2020-01-01", "db": "PubMed", "db_id": "32232214", "db_name": "Archives of academic emergency medicine", "first": "Rismanbaf A", "last": "Rismanbaf A", "pages": "e29", "volume": "8"}, "evidence": "Studies have shown that IL-6 levels significantly correlated with the severity of COVID-19, C-reactive protein (CRP), lactate dehydrogenase (LDH), and D-dimer levels and T cell counts, and it has been suggested that Tocilizumab, with its inhibitory effect on IL-6, may be effective in treatment of COVID-19 (10, 11).", "line": 123, "relation": "positiveCorrelation"}
act(p(hgnc:24059))	increases	p(uniprot:P59594, frag("?"))	{"annotations": {}, "citation": {"authors": ["Ge XY", "Li JY", "Liao CH", "Qiu Y", "Wang Q", "Zhou ZJ"], "date": "2020-03-20", "db": "PubMed", "db_id": "32198713", "db_name": "Virologica Sinica", "first": "Wang Q", "last": "Ge XY"}, "evidence": "For instance, a variety of human proteases, such as trypsin, tryptase Clara, human airway trypsin-like protease (HAT) and transmembrane protease serine 2 (TMPRSS2), are known to cleave and activate the S protein of SARS-CoV (Bosch et al. 2008; Bertram et al. 2011).", "line": 73, "relation": "increases", "subject": {"modifier": "Activity"}}
p(hgnc:2434)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Li T", "Liu Z", "Qin Y", "Wang J", "Wang Q", "Yan X", "Zeng X", "Zhang F", "Zhang S", "Zhang W", "Zhang X", "Zhao Y"], "date": "2020-03-25", "db": "PubMed", "db_id": "32222466", "db_name": "Clinical immunology (Orlando, Fla.)", "first": "Zhang W", "last": "Zhang S", "pages": "108393", "volume": "214"}, "evidence": "They measured cytokine levels in 41 inpatients (including 13 ICU patients and 28 non ICU patients), IL-1B, IL-1RA, IL-7, IL-8, IL-9, IL-10, fibroblast growth factor (FGF), granulocyte-macrophage colony stimulating factor (GM-CSF), IFN\u03b3, granulocyte-colony stimulating factor (G-CSF), interferon-\u03b3-inducible protein (IP10), monocyte chemoattractant protein (MCP1), macrophage inflammatory protein 1 alpha (MIP1A) , platelet derived growth factor (PDGF), tumor necrosis factor (TNF\u03b1),   vascular endothelial growth factor (VEGF) were increased, among which IL-2, IL-7, IL-10, G-CSF, IP10, MCP1, MIP1A, TNF\u03b1 were h igher in severe patients[3, 4].", "line": 68, "relation": "positiveCorrelation"}
p(hgnc:2438)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Byrareddy SN", "Rothan HA"], "date": "2020-02-26", "db": "PubMed", "db_id": "32113704", "db_name": "Journal of autoimmunity", "first": "Rothan HA", "last": "Byrareddy SN", "pages": "102433"}, "evidence": "Significantly high blood levels of cytokines and chemokines were noted in patients with COVID-19 infection that included IL1-\u03b2, IL1RA, IL7, IL8, IL9, IL10, basic FGF2, GCSF, GMCSF, IFN\u03b3, IP10, MCP1, MIP1\u03b1, MIP1\u03b2, PDGFB, TNF\u03b1, and VEGFA. Some of the severe cases that were admitted to the intensive care unit showed high levels of pro-inflammatory cytokines including IL2, IL7, IL10, GCSF, IP10, MCP1, MIP1\u03b1, and TNF\u03b1 that are reasoned to promote disease severity [6].", "line": 117, "relation": "positiveCorrelation"}
p(hgnc:2438)	positiveCorrelation	path(doid:0080600)	{"annotations": {"mesh": {"D010949": true}}, "citation": {"authors": ["Cao QD", "Chen SD", "Guo YR", "Hong ZS", "Jin HJ", "Tan KS", "Tan YY", "Wang DY", "Yan Y"], "date": "2020-03-13", "db": "PubMed", "db_id": "32169119", "db_name": "Military Medical Research", "first": "Guo YR", "last": "Yan Y", "pages": "11", "volume": "7"}, "evidence": "Additionally, inflammatory factors (interleukin (IL)-6, IL-10, tumor necrosis factor-\u03b1(TNF-\u03b1) increase, indicating the immune status of patients. The data showed that ICU patients had higher plasma levels of IL-2, IL-7, IL-10, granulocyte colony-stimulating factor (GCSF), 10 kD interferon-gamma-induced  protein  (IP-10),  monocyte  chemo-attractant protein-1 (MCP-1), macrophage inflammatory protein 1-\u03b1(MIP-1\u03b1), and TNF-\u03b1[48].", "line": 112, "relation": "positiveCorrelation"}
p(hgnc:2438)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Li T", "Liu Z", "Qin Y", "Wang J", "Wang Q", "Yan X", "Zeng X", "Zhang F", "Zhang S", "Zhang W", "Zhang X", "Zhao Y"], "date": "2020-03-25", "db": "PubMed", "db_id": "32222466", "db_name": "Clinical immunology (Orlando, Fla.)", "first": "Zhang W", "last": "Zhang S", "pages": "108393", "volume": "214"}, "evidence": "They measured cytokine levels in 41 inpatients (including 13 ICU patients and 28 non ICU patients), IL-1B, IL-1RA, IL-7, IL-8, IL-9, IL-10, fibroblast growth factor (FGF), granulocyte-macrophage colony stimulating factor (GM-CSF), IFN\u03b3, granulocyte-colony stimulating factor (G-CSF), interferon-\u03b3-inducible protein (IP10), monocyte chemoattractant protein (MCP1), macrophage inflammatory protein 1 alpha (MIP1A) , platelet derived growth factor (PDGF), tumor necrosis factor (TNF\u03b1),   vascular endothelial growth factor (VEGF) were increased, among which IL-2, IL-7, IL-10, G-CSF, IP10, MCP1, MIP1A, TNF\u03b1 were h igher in severe patients[3, 4].", "line": 70, "relation": "positiveCorrelation"}
act(p(hgnc:2464))	association	bp(go:0085029)	{"annotations": {}, "citation": {"authors": ["Chan DZ", "Chou CF", "Fielding BC", "Hong W", "Lim SG", "Shen S", "Tan TH", "Tan YJ", "Tham PY"], "date": "2005-08-01", "db": "PubMed", "db_id": "16014971", "db_name": "Journal of virology", "first": "Tan YJ", "last": "Hong W", "pages": "10083-7", "volume": "79"}, "evidence": "Interestingly, the mRNA level of CSPG2, which is involved in the extracellular matrix assembly (32), was also specifically up- regulated, with four different transcripts giving similar results (Table \u200b(Table1).1).", "line": 60, "relation": "association", "subject": {"modifier": "Activity"}}
p(hgnc:24921)	increases	p(hgnc:3265, pmod(go:0006468))	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "Besides PERK, three other kinases are known to phosphorylate eIF2\u03b1, namely the protein kinase RNA-activated (PKR), heme-regulated inhibitor kinase (HRI), and general control non-derepressible-2 (GCN2;Ron and Walter, 2007).", "line": 200, "relation": "increases"}
act(p(hgnc:2505))	negativeCorrelation	bp(go:0036037)	{"annotations": {}, "citation": {"authors": ["Dong XQ", "Wang XC", "Yang CX", "Yang XP", "Zhang M", "Zhang N", "Zheng HY", "Zheng YT"], "date": "2020-03-17", "db": "PubMed", "db_id": "32203186", "db_name": "Cellular &amp; molecular immunology", "first": "Zheng HY", "last": "Zheng YT"}, "evidence": "Because functional blockade of PD-1, CTLA-4, and TIGIT is beneficial for CD8+ T cells to maintain lasting antigen-specific immunity and antiviral effects,10,11 the excessive exhaustion of CD8+ T cells in severe patients may reduce their cellular immune response to SARS- CoV-2.", "line": 174, "relation": "negativeCorrelation", "subject": {"modifier": "Activity"}}
p(hgnc:2527)	positiveCorrelation	bp(go:0039663)	{"citation": {"authors": ["Cao QD", "Chen SD", "Guo YR", "Hong ZS", "Jin HJ", "Tan KS", "Tan YY", "Wang DY", "Yan Y"], "date": "2020-03-13", "db": "PubMed", "db_id": "32169119", "db_name": "Military Medical Research", "first": "Guo YR", "last": "Yan Y", "pages": "11", "volume": "7"}, "evidence": "The other antiviral drugs include nitazoxanide, favipiravir, nafamostat, and so on (See Table 1 for details).", "line": 177, "relation": "positiveCorrelation"}
act(p(hgnc:2537))	regulates	a(mesh:D064370)	{"annotations": {}, "citation": {"authors": ["Baron SA", "Colson P", "Devaux C", "Raoult D", "Rolain JM"], "date": "2020-03-13", "db": "PubMed", "db_id": "32179150", "db_name": "International journal of antimicrobial agents", "first": "Baron SA", "last": "Rolain JM", "pages": "105944"}, "evidence": "According to Zhou and colleagues, in coronaviruses, teicoplanin acts on the early step of the viral life cycle by inhibiting the low pH cleavage of the viral spike protein by cathepsin L in the late endosomes thereby preventing the release of genomic viral RNA and the continuation of virus replication cycle.", "line": 133, "relation": "regulates", "subject": {"modifier": "Activity"}}
act(p(hgnc:2537))	increases	p(mesh:D064370, frag("?"))	{"annotations": {"mesh": {"D011992": true}}, "citation": {"authors": ["Baron SA", "Colson P", "Devaux C", "Raoult D", "Rolain JM"], "date": "2020-03-13", "db": "PubMed", "db_id": "32179150", "db_name": "International journal of antimicrobial agents", "first": "Baron SA", "last": "Rolain JM", "pages": "105944"}, "evidence": "According to Zhou and colleagues, in coronaviruses, teicoplanin acts on the early step of the viral life cycle by inhibiting the low pH cleavage of the viral spike protein by cathepsin L in the late endosomes thereby preventing the release of genomic viral RNA and the continuation of virus replication cycle.", "line": 184, "relation": "increases", "subject": {"modifier": "Activity"}}
act(p(hgnc:2537))	increases	bp(go:0046718)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "https://doi.org/10.1101/2020.02.05.935387 "}, "evidence": "Accordingly, we infected the cells with SARS-CoV-, or 2019- nCoV -S- pseudotyped HIV-1 viruses after siRNA-mediated knockdown of the expression of cathepsin L and TMPRSS2 and found that both cathepsin L and TMPRSS2 depletion impaired the cell entry of pseudoviruses (Figure 1C), indicating that both cathepsin L and TMPRSS2 are required for 2019- nCoV cell entry.", "line": 106, "relation": "increases", "subject": {"modifier": "Activity"}}
p(hgnc:2537)	positiveCorrelation	bp(go:0046718)	{"citation": {"db": "DOI", "db_id": "https://doi.org/10.1101/2020.02.05.935387 "}, "evidence": "Accordingly, we infected the cells with SARS-CoV-, or 2019-nCoV-S-pseudotyped HIV-1 viruses after siRNA-mediated knockdown of the expression of cathepsin L and TMPRSS2 and found that both cathepsin L and TMPRSS2 depletion impaired the cell entry of pseudoviruses (Figure 1C), indicating that both cathepsin L and TMPRSS2 are required for 2019-nCoV cell entry.", "line": 169, "relation": "positiveCorrelation"}
act(p(hgnc:26838))	negativeCorrelation	bp(go:0036037)	{"annotations": {}, "citation": {"authors": ["Dong XQ", "Wang XC", "Yang CX", "Yang XP", "Zhang M", "Zhang N", "Zheng HY", "Zheng YT"], "date": "2020-03-17", "db": "PubMed", "db_id": "32203186", "db_name": "Cellular &amp; molecular immunology", "first": "Zheng HY", "last": "Zheng YT"}, "evidence": "Because functional blockade of PD-1, CTLA-4, and TIGIT is beneficial for CD8+ T cells to maintain lasting antigen-specific immunity and antiviral effects,10,11 the excessive exhaustion of CD8+ T cells in severe patients may reduce their cellular immune response to SARS- CoV-2.", "line": 175, "relation": "negativeCorrelation", "subject": {"modifier": "Activity"}}
p(hgnc:2707)	hasVariant	p(hgnc:2707, var("?"))	{"relation": "hasVariant"}
act(p(hgnc:2707))	positiveCorrelation	path(mesh:D055370)	{"annotations": {"mesh": {"D055397": true}}, "citation": {"authors": ["Li Y", "Penninger JM", "Slutsky AS", "Zhang H", "Zhong N"], "date": "2020-04-01", "db": "PubMed", "db_id": "32125455", "db_name": "Intensive care medicine", "first": "Zhang H", "last": "Slutsky AS", "pages": "586-590", "volume": "46"}, "evidence": "Indeed, enhanced ACE activity and decreased ACE2 availability contribute to lung injury during acid- and ventilator-induced lung injury [12, 31, 32].", "line": 151, "relation": "positiveCorrelation", "subject": {"modifier": "Activity"}}
act(p(hgnc:2707), ma(go:"catalytic activity"))	increases	rxn(reactants(a(chebi:2718)), products(a(chebi:48432)))	{"annotations": {}, "citation": {"authors": ["Gurwitz D"], "date": "2020-03-04", "db": "PubMed", "db_id": "32129518", "db_name": "Drug development research", "first": "Gurwitz D", "last": "Gurwitz D"}, "evidence": "ACE cleaves angiotensin I to generate angiotensin II, the peptide which binds to and activates AT1R to constrict blood vessels, thereby elevating blood pressure.", "line": 77, "relation": "increases", "subject": {"effect": {"namespace": "go", "name": "catalytic activity", "identifier": "0003824"}, "modifier": "Activity"}}
act(p(hgnc:2707))	increases	rxn(reactants(a(chebi:2718)), products(a(chebi:48432)))	{"annotations": {}, "citation": {"authors": ["Brown TS", "Cohen JB", "Hanff TC", "Harhay MO", "Mohareb AM"], "date": "2020-03-26", "db": "PubMed", "db_id": "32215613", "db_name": "Clinical infectious diseases : an official publication of the Infectious Diseases Society of America", "first": "Hanff TC", "last": "Mohareb AM"}, "evidence": "In the RAS cascade, ACE is responsible for the conversion of Angiotensin (Ang) I to Ang II, and Ang II is the vasoactive peptide principally responsible for systemic vasoconstriction and stimulation of aldosterone release (Figure 1) [16]", "line": 93, "relation": "increases", "subject": {"modifier": "Activity"}}
act(p(hgnc:2707))	negativeCorrelation	act(p(hgnc:13557))	{"annotations": {}, "citation": {"authors": ["Gurwitz D"], "date": "2020-03-04", "db": "PubMed", "db_id": "32129518", "db_name": "Drug development research", "first": "Gurwitz D", "last": "Gurwitz D"}, "evidence": "It has been demonstrated that the binding of the coronavirus spike protein to ACE2, its cellular binding site, leads to ACE2 downregulation, which in turn results in excessive production of angiotensin by the related enzyme ACE, while less ACE2 is capable of converting it to the vasodilator heptapeptide angiotensin 1\u20137.", "line": 136, "object": {"modifier": "Activity"}, "relation": "negativeCorrelation", "subject": {"modifier": "Activity"}}
act(p(hgnc:2707))	negativeCorrelation	act(p(hgnc:13557))	{"annotations": {}, "citation": {"authors": ["Gurwitz D"], "date": "2020-03-04", "db": "PubMed", "db_id": "32129518", "db_name": "Drug development research", "first": "Gurwitz D", "last": "Gurwitz D"}, "evidence": "This may be accounted for by two complementary mechanisms: blocking the excessive angiotensin-mediated AT1R activation caused by the viral infection, as well as upregulating ACE2, thereby reducing angiotensin production by ACE and increasing the production of the vasodilator angiotensin 1\u20137.", "line": 155, "object": {"modifier": "Activity"}, "relation": "negativeCorrelation", "subject": {"modifier": "Activity"}}
act(p(hgnc:2707))	increases	a(chebi:2718)	{"annotations": {}, "citation": {"authors": ["Gurwitz D"], "date": "2020-03-04", "db": "PubMed", "db_id": "32129518", "db_name": "Drug development research", "first": "Gurwitz D", "last": "Gurwitz D"}, "evidence": "This may be accounted for by two complementary mechanisms: blocking the excessive angiotensin-mediated AT1R activation caused by the viral infection, as well as upregulating ACE2, thereby reducing angiotensin production by ACE and increasing the production of the vasodilator angiotensin 1\u20137.", "line": 157, "relation": "increases", "subject": {"modifier": "Activity"}}
act(p(hgnc:2707))	association	bp(mesh:D012084)	{"annotations": {}, "citation": {"authors": ["Brown TS", "Cohen JB", "Hanff TC", "Harhay MO", "Mohareb AM"], "date": "2020-03-26", "db": "PubMed", "db_id": "32215613", "db_name": "Clinical infectious diseases : an official publication of the Infectious Diseases Society of America", "first": "Hanff TC", "last": "Mohareb AM"}, "evidence": "In the RAS cascade, ACE is responsible for the conversion of Angiotensin (Ang) I to Ang II, and Ang II is the vasoactive peptide principally responsible for systemic vasoconstriction and stimulation of aldosterone release (Figure 1) [16]", "line": 92, "relation": "association", "subject": {"modifier": "Activity"}}
act(p(hgnc:2707))	increases	a(chebi:48432)	{"annotations": {}, "citation": {"authors": ["Brown TS", "Cohen JB", "Hanff TC", "Harhay MO", "Mohareb AM"], "date": "2020-03-26", "db": "PubMed", "db_id": "32215613", "db_name": "Clinical infectious diseases : an official publication of the Infectious Diseases Society of America", "first": "Hanff TC", "last": "Mohareb AM"}, "evidence": "The generation of Ang II by ACE is pharmacologically inhibited by angiotensin converting enzyme inhibitors (ACEi), and angiotensin receptor blockers (ARBs) function by blocking the downstream interaction of Ang II with the AT1 receptor [16].", "line": 109, "relation": "increases", "subject": {"modifier": "Activity"}}
p(hgnc:2707, var("?"))	negativeCorrelation	p(hgnc:13557)	{"annotations": {}, "citation": {"authors": ["De Buyzere ML", "Delanghe JR", "Speeckaert MM"], "date": "2020-03-24", "db": "PubMed", "db_id": "32220422", "db_name": "Clinica chimica acta; international journal of clinical chemistry", "first": "Delanghe JR", "last": "De Buyzere ML", "pages": "192-193", "volume": "505"}, "evidence": "The angiotensin-converting 1 (ACE1) enzyme is characterized by a genetic deletion/insertion (D/I) polymorphism in intron 16, which is associated with alterations in circulating and tissue concentrations of ACE. The D allele is associated with a reduced expression of ACE2.", "line": 76, "relation": "negativeCorrelation"}
p(hgnc:2707, var("?"))	negativeCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["De Buyzere ML", "Delanghe JR", "Speeckaert MM"], "date": "2020-03-24", "db": "PubMed", "db_id": "32220422", "db_name": "Clinica chimica acta; international journal of clinical chemistry", "first": "Delanghe JR", "last": "De Buyzere ML", "pages": "192-193", "volume": "505"}, "evidence": "It should also be noted that the two Asian countries which were initially severely hit by the virus, China and Korea, are also characterized by low D allele frequencies.", "line": 85, "relation": "negativeCorrelation"}
p(hgnc:2707, var("?"))	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["De Buyzere ML", "Delanghe JR", "Speeckaert MM"], "date": "2020-03-24", "db": "PubMed", "db_id": "32220422", "db_name": "Clinica chimica acta; international journal of clinical chemistry", "first": "Delanghe JR", "last": "De Buyzere ML", "pages": "192-193", "volume": "505"}, "evidence": "These data suggest that ACE1 D/I polymorphism may be regarded as a confounder in the spread of COVID-19 and the outcome of the infection in various European populations. These findings are in agreement with the role of ACE in pulmonary infections caused by coronaviruses [4].", "line": 95, "relation": "positiveCorrelation"}
p(hgnc:2726)	increases	p(hgnc:14375)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "One of ATF4\u2019s target genes is the growth arrest and DNA damage-inducible protein 153 (GADD153, also knownas C/EBP homologous protein, or CHOP). GADD153 induces the growth arrest and DNA damage-inducible protein 34 (GADD34), which recruits protein phosphatase 1 (PP1) to dephosphorylate eIF2\u03b1 and release the translation block.", "line": 218, "relation": "increases"}
p(hgnc:2726)	decreases	p(hgnc:990)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "However, if ER stress persists, GADD153 can induce apoptosis by suppressing the anti-apoptotic protein B-cell lymphoma 2 (Bcl-2) and inducing the pro-apoptotic proteins such as Bcl-2-interacting mediator of cell death (Bim;Puthalakath et al., 2007). GADD153 also activates ER oxidoreductin-1\u03b1 (ERO1\u03b1), which encodes an ER oxidase. The increase protein influx to a hyperoxidizing ER aggravates ER stress and induces apoptosis (Marciniak et al., 2004;Figure 3).", "line": 225, "relation": "decreases"}
p(hgnc:2726)	increases	p(hgnc:994)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "However, if ER stress persists, GADD153 can induce apoptosis by suppressing the anti-apoptotic protein B-cell lymphoma 2 (Bcl-2) and inducing the pro-apoptotic proteins such as Bcl-2-interacting mediator of cell death (Bim;Puthalakath et al., 2007). GADD153 also activates ER oxidoreductin-1\u03b1 (ERO1\u03b1), which encodes an ER oxidase. The increase protein influx to a hyperoxidizing ER aggravates ER stress and induces apoptosis (Marciniak et al., 2004;Figure 3).", "line": 227, "relation": "increases"}
p(hgnc:2726)	increases	bp(go:0006915)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "However, if ER stress persists, GADD153 can induce apoptosis by suppressing the anti-apoptotic protein B-cell lymphoma 2 (Bcl-2) and inducing the pro-apoptotic proteins such as Bcl-2-interacting mediator of cell death (Bim;Puthalakath et al., 2007). GADD153 also activates ER oxidoreductin-1\u03b1 (ERO1\u03b1), which encodes an ER oxidase. The increase protein influx to a hyperoxidizing ER aggravates ER stress and induces apoptosis (Marciniak et al., 2004;Figure 3).", "line": 229, "relation": "increases"}
act(p(hgnc:2726))	increases	bp(go:0006915)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "However, recent studies have demonstrated that, under certain circumstances, ATF6-mediated signals may also contribute to ER-stress-induced apoptosis, possibly via activation of CHOP and/or suppression of myeloid cell leukemia sequence 1 (Mcl-1;Gotoh et al., 2002;Nakanishi et al., 2005;Morishima et al.,2011).", "line": 452, "relation": "increases", "subject": {"modifier": "Activity"}}
p(hgnc:2726)	increases	p(hgnc:13280)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "However, if ER stress persists, GADD153 can induce apoptosis by suppressing the anti-apoptotic protein B-cell lymphoma 2 (Bcl-2) and inducing the pro-apoptotic proteins such as Bcl-2-interacting mediator of cell death (Bim;Puthalakath et al., 2007). GADD153 also activates ER oxidoreductin-1\u03b1 (ERO1\u03b1), which encodes an ER oxidase. The increase protein influx to a hyperoxidizing ER aggravates ER stress and induces apoptosis (Marciniak et al., 2004;Figure 3).", "line": 230, "relation": "increases"}
p(hgnc:2726)	increases	p(hgnc:16228)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "The up-regulation of GADD153 promotes apoptosis in IBV-infected cells, possibly via inducing the pro-apoptotic protein tribbles-related protein 3 (TRIB3) and suppressing the pro-survival kinase extracellular signal-related kinase (ERK;Liaoet al., 2013).", "line": 273, "relation": "increases"}
p(hgnc:2726)	decreases	p(hgnc:6871)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "The up-regulation of GADD153 promotes apoptosis in IBV-infected cells, possibly via inducing the pro-apoptotic protein tribbles-related protein 3 (TRIB3) and suppressing the pro-survival kinase extracellular signal-related kinase (ERK;Liaoet al., 2013).", "line": 275, "relation": "decreases"}
p(hgnc:2726)	association	p(hgnc:791)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "The identified target genes of ATF6 include ER chaperones (such as GRP78, GRP94), PDI, and the UPR transcription factors GADD153 and XBP1 (Szegezdi et al., 2006).", "line": 441, "relation": "association"}
p(hgnc:2973)	hasVariant	p(hgnc:2973, pmod(go:0016567))	{"relation": "hasVariant"}
